bid,title,author,category,status,content,search_index
46,The Lord Of Wings ,J.R.R.Tolken,Story,issued,The Lord Of Wings  J.R.R.Tolken Story,
47,Kite Runner,Khaled Hosseini,Story,available,Kite Runner Khaled Hosseini Story,
48,Harry Potter,J.K.Rowling,Story,issued,Harry Potter J.K.Rowling Story,
49,The Book Theif,Markus Zusak,Story,available,The Book Theif Markus Zusak Story,
50,History Of 20th Century,Martin Gilbert,History,available,History Of 20th Century Martin Gilbert History,
51,"Guns,Germs,and Steel",Jared Daimond,History,issued,"Guns,Germs,and Steel Jared Daimond History",
52,A World lit Only by Fire,William Manchestar,History,issued,A World lit Only by Fire William Manchestar History,
53,The Crusades ,Thomas Asbridge,History,available,The Crusades  Thomas Asbridge History,
54,Over The Edge Of The World,Laurence,History,available,Over The Edge Of The World Laurence History,
55,A Beautiful Mind ,Sylvia Nasar,Biography,available,A Beautiful Mind  Sylvia Nasar Biography,
56,The Enigma,Andrew Hodges,Biography,available,The Enigma Andrew Hodges Biography,
57,Alexander Hamilton,Ron Chernow,Biography,available,Alexander Hamilton Ron Chernow Biography,
58,Barracoon,Zora Neale Hurston,Biography,available,Barracoon Zora Neale Hurston Biography,
59,CHURCHILL : A Life,MArtin Glibert,Biography,available,CHURCHILL : A Life MArtin Glibert Biography,
60,A Tale of Two Cities,Charles Dickens,Historical novel,issued,A Tale of Two Cities Charles Dickens Historical novel,
61,Les Misérables,Victor Hugo,Historical fiction,issued,Les Misérables Victor Hugo Historical fiction,
62,harry poter,DMS,Fiction,available,harry poter DMS Fiction,harry poter dms fiction
